"att_1";"word";"in documents";"total";"id"
"0.14340774852234098";;;;"africa_bre"
"0.07170387426117049";;;;"agricultur"
"0.05011885730323968";;;;"aliv"
"0.07170387426117049";;;;"alive_frog"
"0.07170387426117049";;;;"april_jun"
"0.07170387426117049";;;;"autumn"
"0.07170387426117049";;;;"avocet"
"0.07170387426117049";;;;"beetl"
"0.07170387426117049";;;;"bird"
"0.05011885730323968";;;;"black_sea"
"0.07170387426117049";;;;"boar"
"0.07170387426117049";;;;"boars_wolv"
"0.21511162278351148";;;;"breed"
"0.07170387426117049";;;;"breed_summ"
"0.07170387426117049";;;;"breed_tim"
"0.07170387426117049";;;;"bunt"
"0.05011885730323968";;;;"canal_book"
"0.07170387426117049";;;;"carp"
"0.07170387426117049";;;;"carp_pik"
"0.07170387426117049";;;;"catalogu"
"0.028533840345308877";;;;"ceau?escu"
"0.028533840345308877";;;;"ceau?escu_"
"0.07170387426117049";;;;"china_lak"
"0.05011885730323968";;;;"coast_find"
"0.07170387426117049";;;;"coloni"
"0.14340774852234098";;;;"come"
"0.07170387426117049";;;;"culmin"
"0.15035657190971904";;;;"danub"
"0.07170387426117049";;;;"danubepark"
"0.07170387426117049";;;;"declar"
"0.07170387426117049";;;;"delta_ott"
"0.07170387426117049";;;;"drain"
"0.07170387426117049";;;;"duck"
"0.14340774852234098";;;;"eagl"
"0.07170387426117049";;;;"egret"
"0.07170387426117049";;;;"egrets_mut"
"0.07170387426117049";;;;"europe_"
"0.07170387426117049";;;;"european"
"0.07170387426117049";;;;"falcon"
"0.07170387426117049";;;;"fish"
"0.05011885730323968";;;;"form"
"0.07170387426117049";;;;"frog"
"0.07170387426117049";;;;"glossi"
"0.07170387426117049";;;;"glossy_ibi"
"0.07170387426117049";;;;"golden"
"0.07170387426117049";;;;"grebe"
"0.03749243180541992";;;;"half"
"0.07170387426117049";;;;"half_snip"
"0.07170387426117049";;;;"hawk"
"0.07170387426117049";;;;"hawk_moth"
"0.05011885730323968";;;;"healthi"
"0.07170387426117049";;;;"heritag"
"0.07170387426117049";;;;"heron"
"0.07170387426117049";;;;"june_latt"
"0.03749243180541992";;;;"kilometr"
"0.028533840345308877";;;;"largest"
"0.05011885730323968";;;;"latter"
"0.07170387426117049";;;;"length"
"0.07170387426117049";;;;"mandarin"
"0.07170387426117049";;;;"member"
"0.07170387426117049";;;;"migrat"
"0.07170387426117049";;;;"mink"
"0.07170387426117049";;;;"mink_boar"
"0.05011885730323968";;;;"month"
"0.07170387426117049";;;;"month_year"
"0.07170387426117049";;;;"moth"
"0.07170387426117049";;;;"mute"
"0.07170387426117049";;;;"mute_swan"
"0.07170387426117049";;;;"neglect"
"0.05011885730323968";;;;"network"
"0.07170387426117049";;;;"night"
"0.05011885730323968";;;;"octob"
"0.07170387426117049";;;;"otter"
"0.05011885730323968";;;;"pass"
"0.07170387426117049";;;;"pass_spr"
"0.07170387426117049";;;;"pelican"
"0.07170387426117049";;;;"pike"
"0.05011885730323968";;;;"plan"
"0.07170387426117049";;;;"plan_drain"
"0.14340774852234098";;;;"protect"
"0.07170387426117049";;;;"reed"
"0.07170387426117049";;;;"reed_bunt"
"0.07170387426117049";;;;"resurg"
"0.03749243180541992";;;;"s_largest"
"0.07170387426117049";;;;"s_plan"
"0.07170387426117049";;;;"saker"
"0.05011885730323968";;;;"sea_can"
"0.07170387426117049";;;;"see_bird"
"0.14340774852234098";;;;"septemb"
"0.07170387426117049";;;;"seventeen"
"0.07170387426117049";;;;"shelduck"
"0.07170387426117049";;;;"site_year"
"0.07170387426117049";;;;"snipe"
"0.07170387426117049";;;;"songbird"
"0.07170387426117049";;;;"speci"
"0.07170387426117049";;;;"spring"
"0.03749243180541992";;;;"squar"
"0.07170387426117049";;;;"stock"
"0.07170387426117049";;;;"strictli"
"0.07170387426117049";;;;"sturgeon"
"0.07170387426117049";;;;"summer"
"0.05011885730323968";;;;"support"
"0.14340774852234098";;;;"swan"
"0.07170387426117049";;;;"swans_arct"
"0.07170387426117049";;;;"tail"
"0.07170387426117049";;;;"time_fish"
"0.07170387426117049";;;;"time_se"
"0.07170387426117049";;;;"use_declar"
"0.07170387426117049";;;;"variou"
"0.03749243180541992";;;;"villag"
"0.07170387426117049";;;;"visited_re"
"0.07170387426117049";;;;"wettest"
"0.03749243180541992";;;;"white"
"0.07170387426117049";;;;"white_tail"
"0.07170387426117049";;;;"whooper"
"0.07170387426117049";;;;"wildlif"
"0.07170387426117049";;;;"winter"
"0.07170387426117049";;;;"wolv"
"0.11247729541625975";;;;"year"
"cluster_0";;;;"cluster"
