date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
2018-01-01 00:01:06+01,011d59f3-9b7f-4000-863b-c3b815099ff4,1.299,1.469,1.449,1,1,1
2018-01-01 00:01:06+01,3e7c0f12-9665-40e2-7c70-d0dfb19314cd,1.249,1.449,1.429,1,1,1
2018-01-01 00:01:06+01,6151509b-91c5-43fe-ed78-a5196b38888c,1.249,1.449,1.429,1,1,1
2018-01-01 00:01:06+01,db9309c1-eb3f-4a2a-92ec-a374262facc9,1.274,0.000,0.000,1,0,0
2018-01-01 00:01:06+01,f51010c6-b9f3-4a0c-b550-72ad3007e24d,1.219,1.419,1.399,1,1,1
2018-01-01 00:01:06+01,fb92ed64-f7db-4966-a7c8-bd45a4bce015,1.319,1.489,1.469,1,1,1
2018-01-01 00:02:06+01,280d23ff-65da-4dff-a471-dfdde1f77690,1.289,1.449,1.429,1,1,1
2018-01-01 00:02:06+01,2d658127-11b5-478c-b131-61b8a9785ca1,1.279,1.459,0.000,1,1,0
2018-01-01 00:02:06+01,343dd4c8-8116-4857-8f77-910fe13af307,0.000,0.000,0.000,2,2,2
2018-01-01 00:02:06+01,446bdcf5-9f75-47fc-9cfa-2c3d6fda1c3b,1.339,1.459,1.439,1,1,1
2018-01-01 00:02:06+01,910350b2-d6e2-4549-b53e-af11743c088e,1.279,1.469,1.449,0,1,1
2018-01-01 00:02:06+01,bcd0ca93-bef3-4a39-9cca-a6febc4edca5,1.289,1.449,1.429,1,1,1
2018-01-01 00:03:05+01,00060711-0001-4444-8888-acdc00000001,1.284,1.454,0.000,1,1,0
2018-01-01 00:03:05+01,02f27852-17cd-4d32-f297-547f6f436e86,1.219,1.409,1.389,1,1,1
2018-01-01 00:03:05+01,78f7c82f-9b4c-4a60-6a4d-843e571c216d,1.249,1.449,1.429,1,1,1
2018-01-01 00:03:05+01,a98ed5d0-261b-4311-beaf-85ee779fc4e0,1.289,1.439,1.419,1,1,1
2018-01-01 00:03:05+01,aa842438-c80d-46c1-828f-2cadb756d032,1.199,1.389,1.369,1,1,1
